date,visitor_count,day_of_week,month,day_of_year
2022-03-30,1132,Wednesday,3,89
2022-03-31,948,Thursday,3,90
2022-04-01,1054,Friday,4,91
2022-04-02,1530,Saturday,4,92
2022-04-03,1591,Sunday,4,93
2022-04-04,901,Monday,4,94
2022-04-05,880,Tuesday,4,95
2022-04-06,907,Wednesday,4,96
2022-04-07,1051,Thursday,4,97
2022-04-08,886,Friday,4,98
2022-04-09,1551,Saturday,4,99
2022-04-10,2139,Sunday,4,100
2022-04-11,847,Monday,4,101
2022-04-12,884,Tuesday,4,102
2022-04-13,931,Wednesday,4,103
2022-04-14,954,Thursday,4,104
2022-04-15,1067,Friday,4,105
2022-04-16,2146,Saturday,4,106
2022-04-17,1566,Sunday,4,107
2022-04-18,883,Monday,4,108
2022-04-19,972,Tuesday,4,109
2022-04-20,920,Wednesday,4,110
2022-04-21,1179,Thursday,4,111
2022-04-22,987,Friday,4,112
2022-04-23,1724,Saturday,4,113
2022-04-24,1923,Sunday,4,114
2022-04-25,804,Monday,4,115
2022-04-26,960,Tuesday,4,116
2022-04-27,1122,Wednesday,4,117
2022-04-28,897,Thursday,4,118
2022-04-29,1053,Friday,4,119
2022-04-30,1757,Saturday,4,120
2022-05-01,2156,Sunday,5,121
2022-05-02,1080,Monday,5,122
2022-05-03,909,Tuesday,5,123
2022-05-04,861,Wednesday,5,124
2022-05-05,969,Thursday,5,125
2022-05-06,889,Friday,5,126
2022-05-07,1837,Saturday,5,127
2022-05-08,2087,Sunday,5,128
2022-05-09,1140,Monday,5,129
2022-05-10,1072,Tuesday,5,130
2022-05-11,836,Wednesday,5,131
2022-05-12,869,Thursday,5,132
2022-05-13,961,Friday,5,133
2022-05-14,1534,Saturday,5,134
2022-05-15,1963,Sunday,5,135
2022-05-16,865,Monday,5,136
2022-05-17,991,Tuesday,5,137
2022-05-18,1117,Wednesday,5,138
2022-05-19,868,Thursday,5,139
2022-05-20,973,Friday,5,140
2022-05-21,1845,Saturday,5,141
2022-05-22,1662,Sunday,5,142
2022-05-23,1084,Monday,5,143
2022-05-24,1037,Tuesday,5,144
2022-05-25,1020,Wednesday,5,145
2022-05-26,1195,Thursday,5,146
2022-05-27,877,Friday,5,147
2022-05-28,2105,Saturday,5,148
2022-05-29,1647,Sunday,5,149
2022-05-30,801,Monday,5,150
2022-05-31,1002,Tuesday,5,151
2022-06-01,1090,Wednesday,6,152
2022-06-02,909,Thursday,6,153
2022-06-03,954,Friday,6,154
2022-06-04,1759,Saturday,6,155
2022-06-05,1698,Sunday,6,156
2022-06-06,947,Monday,6,157
2022-06-07,846,Tuesday,6,158
2022-06-08,1011,Wednesday,6,159
2022-06-09,901,Thursday,6,160
2022-06-10,1077,Friday,6,161
2022-06-11,1987,Saturday,6,162
2022-06-12,1744,Sunday,6,163
2022-06-13,1130,Monday,6,164
2022-06-14,901,Tuesday,6,165
2022-06-15,1088,Wednesday,6,166
2022-06-16,1133,Thursday,6,167
2022-06-17,938,Friday,6,168
2022-06-18,1831,Saturday,6,169
2022-06-19,1769,Sunday,6,170
2022-06-20,876,Monday,6,171
2022-06-21,988,Tuesday,6,172
2022-06-22,977,Wednesday,6,173
2022-06-23,953,Thursday,6,174
2022-06-24,1088,Friday,6,175
2022-06-25,1704,Saturday,6,176
2022-06-26,1573,Sunday,6,177
2022-06-27,1042,Monday,6,178
2022-06-28,981,Tuesday,6,179
2022-06-29,959,Wednesday,6,180
2022-06-30,1067,Thursday,6,181
2022-07-01,1136,Friday,7,182
2022-07-02,2301,Saturday,7,183
2022-07-03,2361,Sunday,7,184
2022-07-04,1187,Monday,7,185
2022-07-05,1293,Tuesday,7,186
2022-07-06,1177,Wednesday,7,187
2022-07-07,1266,Thursday,7,188
2022-07-08,1030,Friday,7,189
2022-07-09,2344,Saturday,7,190
2022-07-10,2538,Sunday,7,191
2022-07-11,1283,Monday,7,192
2022-07-12,1279,Tuesday,7,193
2022-07-13,1133,Wednesday,7,194
2022-07-14,1286,Thursday,7,195
2022-07-15,960,Friday,7,196
2022-07-16,1939,Saturday,7,197
2022-07-17,2448,Sunday,7,198
2022-07-18,1063,Monday,7,199
2022-07-19,1242,Tuesday,7,200
2022-07-20,1026,Wednesday,7,201
2022-07-21,1370,Thursday,7,202
2022-07-22,1372,Friday,7,203
2022-07-23,1914,Saturday,7,204
2022-07-24,1831,Sunday,7,205
2022-07-25,1342,Monday,7,206
2022-07-26,1249,Tuesday,7,207
2022-07-27,1366,Wednesday,7,208
2022-07-28,984,Thursday,7,209
2022-07-29,1125,Friday,7,210
2022-07-30,1955,Saturday,7,211
2022-07-31,2364,Sunday,7,212
2022-08-01,1288,Monday,8,213
2022-08-02,1352,Tuesday,8,214
2022-08-03,1308,Wednesday,8,215
2022-08-04,1158,Thursday,8,216
2022-08-05,1156,Friday,8,217
2022-08-06,2469,Saturday,8,218
2022-08-07,2070,Sunday,8,219
2022-08-08,1142,Monday,8,220
2022-08-09,1361,Tuesday,8,221
2022-08-10,1190,Wednesday,8,222
2022-08-11,1035,Thursday,8,223
2022-08-12,1015,Friday,8,224
2022-08-13,1794,Saturday,8,225
2022-08-14,1892,Sunday,8,226
2022-08-15,1294,Monday,8,227
2022-08-16,1400,Tuesday,8,228
2022-08-17,1113,Wednesday,8,229
2022-08-18,1438,Thursday,8,230
2022-08-19,1366,Friday,8,231
2022-08-20,2200,Saturday,8,232
2022-08-21,2240,Sunday,8,233
2022-08-22,1059,Monday,8,234
2022-08-23,1048,Tuesday,8,235
2022-08-24,1237,Wednesday,8,236
2022-08-25,1240,Thursday,8,237
2022-08-26,1137,Friday,8,238
2022-08-27,1866,Saturday,8,239
2022-08-28,2168,Sunday,8,240
2022-08-29,1405,Monday,8,241
2022-08-30,1426,Tuesday,8,242
2022-08-31,1261,Wednesday,8,243
2022-09-01,894,Thursday,9,244
2022-09-02,867,Friday,9,245
2022-09-03,1949,Saturday,9,246
2022-09-04,1592,Sunday,9,247
2022-09-05,1078,Monday,9,248
2022-09-06,1091,Tuesday,9,249
2022-09-07,1127,Wednesday,9,250
2022-09-08,1191,Thursday,9,251
2022-09-09,867,Friday,9,252
2022-09-10,1483,Saturday,9,253
2022-09-11,1653,Sunday,9,254
2022-09-12,1072,Monday,9,255
2022-09-13,957,Tuesday,9,256
2022-09-14,1143,Wednesday,9,257
2022-09-15,865,Thursday,9,258
2022-09-16,1095,Friday,9,259
2022-09-17,2105,Saturday,9,260
2022-09-18,1477,Sunday,9,261
2022-09-19,1036,Monday,9,262
2022-09-20,1059,Tuesday,9,263
2022-09-21,1089,Wednesday,9,264
2022-09-22,990,Thursday,9,265
2022-09-23,1089,Friday,9,266
2022-09-24,1580,Saturday,9,267
2022-09-25,1563,Sunday,9,268
2022-09-26,1111,Monday,9,269
2022-09-27,850,Tuesday,9,270
2022-09-28,1049,Wednesday,9,271
2022-09-29,939,Thursday,9,272
2022-09-30,838,Friday,9,273
2022-10-01,1715,Saturday,10,274
2022-10-02,2105,Sunday,10,275
2022-10-03,1015,Monday,10,276
2022-10-04,1103,Tuesday,10,277
2022-10-05,1001,Wednesday,10,278
2022-10-06,891,Thursday,10,279
2022-10-07,1189,Friday,10,280
2022-10-08,1764,Saturday,10,281
2022-10-09,1705,Sunday,10,282
2022-10-10,864,Monday,10,283
2022-10-11,1131,Tuesday,10,284
2022-10-12,1068,Wednesday,10,285
2022-10-13,914,Thursday,10,286
2022-10-14,1144,Friday,10,287
2022-10-15,1647,Saturday,10,288
2022-10-16,1595,Sunday,10,289
2022-10-17,938,Monday,10,290
2022-10-18,1067,Tuesday,10,291
2022-10-19,1131,Wednesday,10,292
2022-10-20,968,Thursday,10,293
2022-10-21,1090,Friday,10,294
2022-10-22,1499,Saturday,10,295
2022-10-23,1938,Sunday,10,296
2022-10-24,829,Monday,10,297
2022-10-25,842,Tuesday,10,298
2022-10-26,818,Wednesday,10,299
2022-10-27,902,Thursday,10,300
2022-10-28,1094,Friday,10,301
2022-10-29,1641,Saturday,10,302
2022-10-30,1948,Sunday,10,303
2022-10-31,1028,Monday,10,304
2022-11-01,532,Tuesday,11,305
2022-11-02,549,Wednesday,11,306
2022-11-03,536,Thursday,11,307
2022-11-04,669,Friday,11,308
2022-11-05,1131,Saturday,11,309
2022-11-06,1286,Sunday,11,310
2022-11-07,700,Monday,11,311
2022-11-08,497,Tuesday,11,312
2022-11-09,570,Wednesday,11,313
2022-11-10,610,Thursday,11,314
2022-11-11,598,Friday,11,315
2022-11-12,1217,Saturday,11,316
2022-11-13,895,Sunday,11,317
2022-11-14,572,Monday,11,318
2022-11-15,595,Tuesday,11,319
2022-11-16,709,Wednesday,11,320
2022-11-17,523,Thursday,11,321
2022-11-18,584,Friday,11,322
2022-11-19,1221,Saturday,11,323
2022-11-20,1090,Sunday,11,324
2022-11-21,549,Monday,11,325
2022-11-22,519,Tuesday,11,326
2022-11-23,710,Wednesday,11,327
2022-11-24,681,Thursday,11,328
2022-11-25,606,Friday,11,329
2022-11-26,1207,Saturday,11,330
2022-11-27,1066,Sunday,11,331
2022-11-28,621,Monday,11,332
2022-11-29,669,Tuesday,11,333
2022-11-30,611,Wednesday,11,334
2022-12-01,1287,Thursday,12,335
2022-12-02,1632,Friday,12,336
2022-12-03,3034,Saturday,12,337
2022-12-04,2975,Sunday,12,338
2022-12-05,1791,Monday,12,339
2022-12-06,1596,Tuesday,12,340
2022-12-07,1306,Wednesday,12,341
2022-12-08,1623,Thursday,12,342
2022-12-09,1430,Friday,12,343
2022-12-10,2362,Saturday,12,344
2022-12-11,2778,Sunday,12,345
2022-12-12,1458,Monday,12,346
2022-12-13,1794,Tuesday,12,347
2022-12-14,1221,Wednesday,12,348
2022-12-15,1523,Thursday,12,349
2022-12-16,1521,Friday,12,350
2022-12-17,2585,Saturday,12,351
2022-12-18,2914,Sunday,12,352
2022-12-19,1281,Monday,12,353
2022-12-20,1250,Tuesday,12,354
2022-12-21,1217,Wednesday,12,355
2022-12-22,1256,Thursday,12,356
2022-12-23,1678,Friday,12,357
2022-12-24,2545,Saturday,12,358
2022-12-25,2673,Sunday,12,359
2022-12-26,1471,Monday,12,360
2022-12-27,1614,Tuesday,12,361
2022-12-28,1203,Wednesday,12,362
2022-12-29,1530,Thursday,12,363
2022-12-30,1656,Friday,12,364
2022-12-31,2724,Saturday,12,365
