date,visitor_count,day_of_week,month,day_of_year
2024-06-20,856,Thursday,6,172
2024-06-21,904,Friday,6,173
2024-06-22,1616,Saturday,6,174
2024-06-23,1502,Sunday,6,175
2024-06-24,1181,Monday,6,176
2024-06-25,1195,Tuesday,6,177
2024-06-26,1168,Wednesday,6,178
2024-06-27,959,Thursday,6,179
2024-06-28,970,Friday,6,180
2024-06-29,1778,Saturday,6,181
2024-06-30,2025,Sunday,6,182
2024-07-01,1393,Monday,7,183
2024-07-02,1131,Tuesday,7,184
2024-07-03,1270,Wednesday,7,185
2024-07-04,1256,Thursday,7,186
2024-07-05,1253,Friday,7,187
2024-07-06,2204,Saturday,7,188
2024-07-07,1917,Sunday,7,189
2024-07-08,1333,Monday,7,190
2024-07-09,1186,Tuesday,7,191
2024-07-10,1064,Wednesday,7,192
2024-07-11,1179,Thursday,7,193
2024-07-12,1410,Friday,7,194
2024-07-13,2088,Saturday,7,195
2024-07-14,2297,Sunday,7,196
2024-07-15,1274,Monday,7,197
2024-07-16,1137,Tuesday,7,198
2024-07-17,1254,Wednesday,7,199
2024-07-18,1216,Thursday,7,200
2024-07-19,1262,Friday,7,201
2024-07-20,1791,Saturday,7,202
2024-07-21,2123,Sunday,7,203
2024-07-22,1084,Monday,7,204
2024-07-23,1082,Tuesday,7,205
2024-07-24,982,Wednesday,7,206
2024-07-25,1159,Thursday,7,207
2024-07-26,1151,Friday,7,208
2024-07-27,2585,Saturday,7,209
2024-07-28,2479,Sunday,7,210
2024-07-29,1360,Monday,7,211
2024-07-30,1082,Tuesday,7,212
2024-07-31,1147,Wednesday,7,213
2024-08-01,1146,Thursday,8,214
2024-08-02,1004,Friday,8,215
2024-08-03,1814,Saturday,8,216
2024-08-04,1993,Sunday,8,217
2024-08-05,1233,Monday,8,218
2024-08-06,1139,Tuesday,8,219
2024-08-07,975,Wednesday,8,220
2024-08-08,1220,Thursday,8,221
2024-08-09,1275,Friday,8,222
2024-08-10,1782,Saturday,8,223
2024-08-11,1834,Sunday,8,224
2024-08-12,1180,Monday,8,225
2024-08-13,1321,Tuesday,8,226
2024-08-14,1257,Wednesday,8,227
2024-08-15,1321,Thursday,8,228
2024-08-16,1056,Friday,8,229
2024-08-17,1740,Saturday,8,230
2024-08-18,2492,Sunday,8,231
2024-08-19,1250,Monday,8,232
2024-08-20,1370,Tuesday,8,233
2024-08-21,1193,Wednesday,8,234
2024-08-22,1232,Thursday,8,235
2024-08-23,992,Friday,8,236
2024-08-24,2439,Saturday,8,237
2024-08-25,2389,Sunday,8,238
2024-08-26,1322,Monday,8,239
2024-08-27,1060,Tuesday,8,240
2024-08-28,1311,Wednesday,8,241
2024-08-29,1191,Thursday,8,242
2024-08-30,1369,Friday,8,243
2024-08-31,2228,Saturday,8,244
2024-09-01,1640,Sunday,9,245
2024-09-02,1065,Monday,9,246
2024-09-03,821,Tuesday,9,247
2024-09-04,999,Wednesday,9,248
2024-09-05,1039,Thursday,9,249
2024-09-06,953,Friday,9,250
2024-09-07,2121,Saturday,9,251
2024-09-08,2128,Sunday,9,252
2024-09-09,889,Monday,9,253
2024-09-10,971,Tuesday,9,254
2024-09-11,986,Wednesday,9,255
2024-09-12,890,Thursday,9,256
2024-09-13,1199,Friday,9,257
2024-09-14,1987,Saturday,9,258
2024-09-15,2089,Sunday,9,259
2024-09-16,1085,Monday,9,260
2024-09-17,960,Tuesday,9,261
2024-09-18,1026,Wednesday,9,262
2024-09-19,942,Thursday,9,263
2024-09-20,1143,Friday,9,264
2024-09-21,2145,Saturday,9,265
2024-09-22,1799,Sunday,9,266
2024-09-23,962,Monday,9,267
2024-09-24,907,Tuesday,9,268
2024-09-25,1107,Wednesday,9,269
2024-09-26,824,Thursday,9,270
2024-09-27,826,Friday,9,271
2024-09-28,1580,Saturday,9,272
2024-09-29,1938,Sunday,9,273
2024-09-30,818,Monday,9,274
2024-10-01,1178,Tuesday,10,275
2024-10-02,1161,Wednesday,10,276
2024-10-03,932,Thursday,10,277
2024-10-04,1061,Friday,10,278
2024-10-05,2030,Saturday,10,279
2024-10-06,2098,Sunday,10,280
2024-10-07,1188,Monday,10,281
2024-10-08,944,Tuesday,10,282
2024-10-09,961,Wednesday,10,283
2024-10-10,1021,Thursday,10,284
2024-10-11,818,Friday,10,285
2024-10-12,1764,Saturday,10,286
2024-10-13,2101,Sunday,10,287
2024-10-14,932,Monday,10,288
2024-10-15,1069,Tuesday,10,289
2024-10-16,1133,Wednesday,10,290
2024-10-17,881,Thursday,10,291
2024-10-18,1163,Friday,10,292
2024-10-19,1723,Saturday,10,293
2024-10-20,1582,Sunday,10,294
2024-10-21,957,Monday,10,295
2024-10-22,909,Tuesday,10,296
2024-10-23,807,Wednesday,10,297
2024-10-24,1120,Thursday,10,298
2024-10-25,954,Friday,10,299
2024-10-26,2061,Saturday,10,300
2024-10-27,1516,Sunday,10,301
2024-10-28,906,Monday,10,302
2024-10-29,1010,Tuesday,10,303
2024-10-30,822,Wednesday,10,304
2024-10-31,884,Thursday,10,305
2024-11-01,715,Friday,11,306
2024-11-02,1123,Saturday,11,307
2024-11-03,1208,Sunday,11,308
2024-11-04,484,Monday,11,309
2024-11-05,494,Tuesday,11,310
2024-11-06,588,Wednesday,11,311
2024-11-07,506,Thursday,11,312
2024-11-08,632,Friday,11,313
2024-11-09,1285,Saturday,11,314
2024-11-10,997,Sunday,11,315
2024-11-11,709,Monday,11,316
2024-11-12,635,Tuesday,11,317
2024-11-13,691,Wednesday,11,318
2024-11-14,643,Thursday,11,319
2024-11-15,597,Friday,11,320
2024-11-16,1280,Saturday,11,321
2024-11-17,1034,Sunday,11,322
2024-11-18,718,Monday,11,323
2024-11-19,617,Tuesday,11,324
2024-11-20,543,Wednesday,11,325
2024-11-21,605,Thursday,11,326
2024-11-22,520,Friday,11,327
2024-11-23,927,Saturday,11,328
2024-11-24,1124,Sunday,11,329
2024-11-25,657,Monday,11,330
2024-11-26,678,Tuesday,11,331
2024-11-27,636,Wednesday,11,332
2024-11-28,521,Thursday,11,333
2024-11-29,648,Friday,11,334
2024-11-30,882,Saturday,11,335
2024-12-01,2827,Sunday,12,336
2024-12-02,1691,Monday,12,337
2024-12-03,1471,Tuesday,12,338
2024-12-04,1200,Wednesday,12,339
2024-12-05,1219,Thursday,12,340
2024-12-06,1226,Friday,12,341
2024-12-07,2414,Saturday,12,342
2024-12-08,2320,Sunday,12,343
2024-12-09,1215,Monday,12,344
2024-12-10,1645,Tuesday,12,345
2024-12-11,1751,Wednesday,12,346
2024-12-12,1778,Thursday,12,347
2024-12-13,1333,Friday,12,348
2024-12-14,2718,Saturday,12,349
2024-12-15,2732,Sunday,12,350
2024-12-16,1686,Monday,12,351
2024-12-17,1352,Tuesday,12,352
2024-12-18,1347,Wednesday,12,353
2024-12-19,1343,Thursday,12,354
2024-12-20,1200,Friday,12,355
2024-12-21,2649,Saturday,12,356
2024-12-22,3216,Sunday,12,357
2024-12-23,1321,Monday,12,358
2024-12-24,1220,Tuesday,12,359
2024-12-25,1241,Wednesday,12,360
2024-12-26,1729,Thursday,12,361
2024-12-27,1294,Friday,12,362
2024-12-28,2312,Saturday,12,363
2024-12-29,2931,Sunday,12,364
2024-12-30,1461,Monday,12,365
2024-12-31,1504,Tuesday,12,366
