display_date,hour_int,display_loc,display_event,predicted_count
2026-01-02,15,Fruit Feeding Centre,General Visit,92
2026-01-02,15,Milk Feeding Nursery,Closed,92
2026-01-02,15,Museum,General Visit,92
2026-01-02,15,Souvenir Shop,General Visit,92
2026-01-02,16,Main Entrance,Entry,231
2026-01-02,16,Elephant Bathing Area,River Observation,231
2026-01-02,16,Fruit Feeding Centre,General Visit,231
2026-01-02,16,Milk Feeding Nursery,Closed,231
2026-01-02,16,Museum,General Visit,231
2026-01-02,16,Souvenir Shop,General Visit,231
2026-01-02,17,Main Entrance,Entry,119
2026-01-02,17,Elephant Bathing Area,River Observation,119
2026-01-02,17,Fruit Feeding Centre,General Visit,119
2026-01-02,17,Milk Feeding Nursery,Bottle Feeding,119
2026-01-02,17,Museum,General Visit,119
2026-01-02,17,Souvenir Shop,General Visit,119
2026-01-03,8,Main Entrance,Entry,59
2026-01-03,8,Elephant Bathing Area,River Observation,59
2026-01-03,8,Fruit Feeding Centre,General Visit,59
2026-01-03,8,Milk Feeding Nursery,Closed,59
2026-01-03,8,Museum,General Visit,59
2026-01-03,8,Souvenir Shop,General Visit,59
2026-01-03,9,Main Entrance,Entry,115
2026-01-03,9,Elephant Bathing Area,River Observation,115
2026-01-03,9,Fruit Feeding Centre,General Visit,115
2026-01-03,9,Milk Feeding Nursery,Bottle Feeding,115
2026-01-03,9,Museum,General Visit,115
2026-01-03,9,Souvenir Shop,General Visit,115
2026-01-03,10,Main Entrance,Entry,78
2026-01-03,10,Elephant Bathing Area,River Bathing,78
2026-01-03,10,Fruit Feeding Centre,General Visit,78
2026-01-03,10,Milk Feeding Nursery,Closed,78
2026-01-03,10,Museum,General Visit,78
2026-01-03,10,Souvenir Shop,General Visit,78
2026-01-03,11,Main Entrance,Entry,85
2026-01-03,11,Elephant Bathing Area,River Bathing,85
2026-01-03,11,Fruit Feeding Centre,General Visit,85
2026-01-03,11,Milk Feeding Nursery,Closed,85
2026-01-03,11,Museum,General Visit,85
2026-01-03,11,Souvenir Shop,General Visit,85
2026-01-03,12,Main Entrance,Entry,57
2026-01-03,12,Elephant Bathing Area,River Observation,57
2026-01-03,12,Fruit Feeding Centre,General Visit,57
2026-01-03,12,Milk Feeding Nursery,Closed,57
2026-01-03,12,Museum,General Visit,57
2026-01-03,12,Souvenir Shop,General Visit,57
2026-01-03,13,Main Entrance,Entry,93
2026-01-03,13,Elephant Bathing Area,River Observation,93
2026-01-03,13,Fruit Feeding Centre,General Visit,93
2026-01-03,13,Milk Feeding Nursery,Bottle Feeding,93
2026-01-03,13,Museum,General Visit,93
2026-01-03,13,Souvenir Shop,General Visit,93
2026-01-03,14,Main Entrance,Entry,73
2026-01-03,14,Elephant Bathing Area,River Bathing,73
2026-01-03,14,Fruit Feeding Centre,General Visit,73
2026-01-03,14,Milk Feeding Nursery,Closed,73
2026-01-03,14,Museum,General Visit,73
2026-01-03,14,Souvenir Shop,General Visit,73
2026-01-03,15,Main Entrance,Entry,65
2026-01-03,15,Elephant Bathing Area,River Bathing,65
2026-01-03,15,Fruit Feeding Centre,General Visit,65
2026-01-03,15,Milk Feeding Nursery,Closed,65
2026-01-03,15,Museum,General Visit,65
2026-01-03,15,Souvenir Shop,General Visit,65
2026-01-03,16,Main Entrance,Entry,156
2026-01-03,16,Elephant Bathing Area,River Observation,156
2026-01-03,16,Fruit Feeding Centre,General Visit,156
2026-01-03,16,Milk Feeding Nursery,Closed,156
2026-01-03,16,Museum,General Visit,156
2026-01-03,16,Souvenir Shop,General Visit,156
2026-01-03,17,Main Entrance,Entry,142
2026-01-03,17,Elephant Bathing Area,River Observation,142
2026-01-03,17,Fruit Feeding Centre,General Visit,142
2026-01-03,17,Milk Feeding Nursery,Bottle Feeding,142
2026-01-03,17,Museum,General Visit,142
2026-01-03,17,Souvenir Shop,General Visit,142
2026-01-04,8,Main Entrance,Entry,91
2026-01-04,8,Elephant Bathing Area,River Observation,91
2026-01-04,8,Fruit Feeding Centre,General Visit,91
2026-01-04,8,Milk Feeding Nursery,Closed,91
2026-01-04,8,Museum,General Visit,91
2026-01-04,8,Souvenir Shop,General Visit,91
2026-01-04,9,Main Entrance,Entry,365
2026-01-04,9,Elephant Bathing Area,River Observation,365
2026-01-04,9,Fruit Feeding Centre,General Visit,365
2026-01-04,9,Milk Feeding Nursery,Bottle Feeding,365
2026-01-04,9,Museum,General Visit,365
2026-01-04,9,Souvenir Shop,General Visit,365
2026-01-04,10,Main Entrance,Entry,239
2026-01-04,10,Elephant Bathing Area,River Bathing,239
2026-01-04,10,Fruit Feeding Centre,General Visit,239
2026-01-04,10,Milk Feeding Nursery,Closed,239
2026-01-04,10,Museum,General Visit,239
2026-01-04,10,Souvenir Shop,General Visit,239
2026-01-04,11,Main Entrance,Entry,279
2026-01-04,11,Elephant Bathing Area,River Bathing,279
2026-01-04,11,Fruit Feeding Centre,General Visit,279
2026-01-04,11,Milk Feeding Nursery,Closed,279
2026-01-04,11,Museum,General Visit,279
2026-01-04,11,Souvenir Shop,General Visit,279
2026-01-04,12,Main Entrance,Entry,125
2026-01-04,12,Elephant Bathing Area,River Observation,125
2026-01-04,12,Fruit Feeding Centre,General Visit,125
2026-01-04,12,Milk Feeding Nursery,Closed,125
2026-01-04,12,Museum,General Visit,125
2026-01-04,12,Souvenir Shop,General Visit,125
2026-01-04,13,Main Entrance,Entry,236
2026-01-04,13,Elephant Bathing Area,River Observation,236
2026-01-04,13,Fruit Feeding Centre,General Visit,236
2026-01-04,13,Milk Feeding Nursery,Bottle Feeding,236
2026-01-04,13,Museum,General Visit,236
2026-01-04,13,Souvenir Shop,General Visit,236
2026-01-04,14,Main Entrance,Entry,195
2026-01-04,14,Elephant Bathing Area,River Bathing,195
2026-01-04,14,Fruit Feeding Centre,General Visit,195
2026-01-04,14,Milk Feeding Nursery,Closed,195
2026-01-04,14,Museum,General Visit,195
2026-01-04,14,Souvenir Shop,General Visit,195
2026-01-04,15,Main Entrance,Entry,103
2026-01-04,15,Elephant Bathing Area,River Bathing,103
2026-01-04,15,Fruit Feeding Centre,General Visit,103
2026-01-04,15,Milk Feeding Nursery,Closed,103
2026-01-04,15,Museum,General Visit,103
2026-01-04,15,Souvenir Shop,General Visit,103
2026-01-04,16,Main Entrance,Entry,261
2026-01-04,16,Elephant Bathing Area,River Observation,261
2026-01-04,16,Fruit Feeding Centre,General Visit,261
2026-01-04,16,Milk Feeding Nursery,Closed,261
2026-01-04,16,Museum,General Visit,261
2026-01-04,16,Souvenir Shop,General Visit,261
2026-01-04,17,Main Entrance,Entry,242
2026-01-04,17,Elephant Bathing Area,River Observation,242
2026-01-04,17,Fruit Feeding Centre,General Visit,242
2026-01-04,17,Milk Feeding Nursery,Bottle Feeding,242
2026-01-04,17,Museum,General Visit,242
2026-01-04,17,Souvenir Shop,General Visit,242
2026-01-05,8,Main Entrance,Entry,54
2026-01-05,8,Elephant Bathing Area,River Observation,54
2026-01-05,8,Fruit Feeding Centre,General Visit,54
2026-01-05,8,Milk Feeding Nursery,Closed,54
2026-01-05,8,Museum,General Visit,54
2026-01-05,8,Souvenir Shop,General Visit,54
2026-01-05,9,Main Entrance,Entry,115
2026-01-05,9,Elephant Bathing Area,River Observation,115
2026-01-05,9,Fruit Feeding Centre,General Visit,115
2026-01-05,9,Milk Feeding Nursery,Bottle Feeding,115
2026-01-05,9,Museum,General Visit,115
2026-01-05,9,Souvenir Shop,General Visit,115
2026-01-05,10,Main Entrance,Entry,98
2026-01-05,10,Elephant Bathing Area,River Bathing,98
2026-01-05,10,Fruit Feeding Centre,General Visit,98
2026-01-05,10,Milk Feeding Nursery,Closed,98
2026-01-05,10,Museum,General Visit,98
2026-01-05,10,Souvenir Shop,General Visit,98
2026-01-05,11,Main Entrance,Entry,88
2026-01-05,11,Elephant Bathing Area,River Bathing,88
2026-01-05,11,Fruit Feeding Centre,General Visit,88
2026-01-05,11,Milk Feeding Nursery,Closed,88
2026-01-05,11,Museum,General Visit,88
2026-01-05,11,Souvenir Shop,General Visit,88
2026-01-05,12,Main Entrance,Entry,57
2026-01-05,12,Elephant Bathing Area,River Observation,57
2026-01-05,12,Fruit Feeding Centre,General Visit,57
2026-01-05,12,Milk Feeding Nursery,Closed,57
2026-01-05,12,Museum,General Visit,57
2026-01-05,12,Souvenir Shop,General Visit,57
2026-01-05,13,Main Entrance,Entry,90
2026-01-05,13,Elephant Bathing Area,River Observation,90
2026-01-05,13,Fruit Feeding Centre,General Visit,90
2026-01-05,13,Milk Feeding Nursery,Bottle Feeding,90
2026-01-05,13,Museum,General Visit,90
2026-01-05,13,Souvenir Shop,General Visit,90
2026-01-05,14,Main Entrance,Entry,71
2026-01-05,14,Elephant Bathing Area,River Bathing,71
2026-01-05,14,Fruit Feeding Centre,General Visit,71
2026-01-05,14,Milk Feeding Nursery,Closed,71
2026-01-05,14,Museum,General Visit,71
2026-01-05,14,Souvenir Shop,General Visit,71
2026-01-05,15,Main Entrance,Entry,64
2026-01-05,15,Elephant Bathing Area,River Bathing,64
2026-01-05,15,Fruit Feeding Centre,General Visit,64
2026-01-05,15,Milk Feeding Nursery,Closed,64
2026-01-05,15,Museum,General Visit,64
2026-01-05,15,Souvenir Shop,General Visit,64
2026-01-05,16,Main Entrance,Entry,203
2026-01-05,16,Elephant Bathing Area,River Observation,203
2026-01-05,16,Fruit Feeding Centre,General Visit,203
2026-01-05,16,Milk Feeding Nursery,Closed,203
2026-01-05,16,Museum,General Visit,203
2026-01-05,16,Souvenir Shop,General Visit,203
2026-01-05,17,Main Entrance,Entry,102
2026-01-05,17,Elephant Bathing Area,River Observation,102
2026-01-05,17,Fruit Feeding Centre,General Visit,102
2026-01-05,17,Milk Feeding Nursery,Bottle Feeding,102
2026-01-05,17,Museum,General Visit,102
2026-01-05,17,Souvenir Shop,General Visit,102
2026-01-06,8,Main Entrance,Entry,69
2026-01-06,8,Elephant Bathing Area,River Observation,69
2026-01-06,8,Fruit Feeding Centre,General Visit,69
2026-01-06,8,Milk Feeding Nursery,Closed,69
2026-01-06,8,Museum,General Visit,69
2026-01-06,8,Souvenir Shop,General Visit,69
2026-01-06,9,Main Entrance,Entry,148
2026-01-06,9,Elephant Bathing Area,River Observation,148
2026-01-06,9,Fruit Feeding Centre,General Visit,148
2026-01-06,9,Milk Feeding Nursery,Bottle Feeding,148
2026-01-06,9,Museum,General Visit,148
2026-01-06,9,Souvenir Shop,General Visit,148
2026-01-06,10,Main Entrance,Entry,100
2026-01-06,10,Elephant Bathing Area,River Bathing,100
2026-01-06,10,Fruit Feeding Centre,General Visit,100
2026-01-06,10,Milk Feeding Nursery,Closed,100
2026-01-06,10,Museum,General Visit,100
2026-01-06,10,Souvenir Shop,General Visit,100
2026-01-06,11,Main Entrance,Entry,98
2026-01-06,11,Elephant Bathing Area,River Bathing,98
2026-01-06,11,Fruit Feeding Centre,General Visit,98
2026-01-06,11,Milk Feeding Nursery,Closed,98
2026-01-06,11,Museum,General Visit,98
2026-01-06,11,Souvenir Shop,General Visit,98
2026-01-06,12,Main Entrance,Entry,65
2026-01-06,12,Elephant Bathing Area,River Observation,65
2026-01-06,12,Fruit Feeding Centre,General Visit,65
2026-01-06,12,Milk Feeding Nursery,Closed,65
2026-01-06,12,Museum,General Visit,65
2026-01-06,12,Souvenir Shop,General Visit,65
2026-01-06,13,Main Entrance,Entry,93
2026-01-06,13,Elephant Bathing Area,River Observation,93
2026-01-06,13,Fruit Feeding Centre,General Visit,93
2026-01-06,13,Milk Feeding Nursery,Bottle Feeding,93
2026-01-06,13,Museum,General Visit,93
2026-01-06,13,Souvenir Shop,General Visit,93
2026-01-06,14,Main Entrance,Entry,81
2026-01-06,14,Elephant Bathing Area,River Bathing,81
2026-01-06,14,Fruit Feeding Centre,General Visit,81
2026-01-06,14,Milk Feeding Nursery,Closed,81
2026-01-06,14,Museum,General Visit,81
2026-01-06,14,Souvenir Shop,General Visit,81
2026-01-06,15,Main Entrance,Entry,78
2026-01-06,15,Elephant Bathing Area,River Bathing,78
2026-01-06,15,Fruit Feeding Centre,General Visit,78
2026-01-06,15,Milk Feeding Nursery,Closed,78
2026-01-06,15,Museum,General Visit,78
2026-01-06,15,Souvenir Shop,General Visit,78
2026-01-06,16,Main Entrance,Entry,215
2026-01-06,16,Elephant Bathing Area,River Observation,215
2026-01-06,16,Fruit Feeding Centre,General Visit,215
2026-01-06,16,Milk Feeding Nursery,Closed,215
2026-01-06,16,Museum,General Visit,215
2026-01-06,16,Souvenir Shop,General Visit,215
2026-01-06,17,Main Entrance,Entry,142
2026-01-06,17,Elephant Bathing Area,River Observation,142
2026-01-06,17,Fruit Feeding Centre,General Visit,142
2026-01-06,17,Milk Feeding Nursery,Bottle Feeding,142
2026-01-06,17,Museum,General Visit,142
2026-01-06,17,Souvenir Shop,General Visit,142
2026-01-07,8,Main Entrance,Entry,59
2026-01-07,8,Elephant Bathing Area,River Observation,59
2026-01-07,8,Fruit Feeding Centre,General Visit,59
2026-01-07,8,Milk Feeding Nursery,Closed,59
2026-01-07,8,Museum,General Visit,59
2026-01-07,8,Souvenir Shop,General Visit,59
2026-01-07,9,Main Entrance,Entry,161
2026-01-07,9,Elephant Bathing Area,River Observation,161
2026-01-07,9,Fruit Feeding Centre,General Visit,161
2026-01-07,9,Milk Feeding Nursery,Bottle Feeding,161
2026-01-07,9,Museum,General Visit,161
2026-01-07,9,Souvenir Shop,General Visit,161
2026-01-07,10,Main Entrance,Entry,106
2026-01-07,10,Elephant Bathing Area,River Bathing,106
2026-01-07,10,Fruit Feeding Centre,General Visit,106
2026-01-07,10,Milk Feeding Nursery,Closed,106
2026-01-07,10,Museum,General Visit,106
2026-01-07,10,Souvenir Shop,General Visit,106
2026-01-07,11,Main Entrance,Entry,118
2026-01-07,11,Elephant Bathing Area,River Bathing,118
2026-01-07,11,Fruit Feeding Centre,General Visit,118
2026-01-07,11,Milk Feeding Nursery,Closed,118
2026-01-07,11,Museum,General Visit,118
2026-01-07,11,Souvenir Shop,General Visit,118
2026-01-07,12,Main Entrance,Entry,68
2026-01-07,12,Elephant Bathing Area,River Observation,68
2026-01-07,12,Fruit Feeding Centre,General Visit,68
2026-01-07,12,Milk Feeding Nursery,Closed,68
2026-01-07,12,Museum,General Visit,68
2026-01-07,12,Souvenir Shop,General Visit,68
2026-01-07,13,Main Entrance,Entry,129
2026-01-07,13,Elephant Bathing Area,River Observation,129
2026-01-07,13,Fruit Feeding Centre,General Visit,129
2026-01-07,13,Milk Feeding Nursery,Bottle Feeding,129
2026-01-07,13,Museum,General Visit,129
2026-01-07,13,Souvenir Shop,General Visit,129
2026-01-07,14,Main Entrance,Entry,81
2026-01-07,14,Elephant Bathing Area,River Bathing,81
2026-01-07,14,Fruit Feeding Centre,General Visit,81
2026-01-07,14,Milk Feeding Nursery,Closed,81
2026-01-07,14,Museum,General Visit,81
2026-01-07,14,Souvenir Shop,General Visit,81
2026-01-07,15,Main Entrance,Entry,70
2026-01-07,15,Elephant Bathing Area,River Bathing,70
2026-01-07,15,Fruit Feeding Centre,General Visit,70
2026-01-07,15,Milk Feeding Nursery,Closed,70
2026-01-07,15,Museum,General Visit,70
2026-01-07,15,Souvenir Shop,General Visit,70
2026-01-07,16,Main Entrance,Entry,157
2026-01-07,16,Elephant Bathing Area,River Observation,157
2026-01-07,16,Fruit Feeding Centre,General Visit,157
2026-01-07,16,Milk Feeding Nursery,Closed,157
2026-01-07,16,Museum,General Visit,157
2026-01-07,16,Souvenir Shop,General Visit,157
2026-01-07,17,Main Entrance,Entry,159
2026-01-07,17,Elephant Bathing Area,River Observation,159
2026-01-07,17,Fruit Feeding Centre,General Visit,159
2026-01-07,17,Milk Feeding Nursery,Bottle Feeding,159
2026-01-07,17,Museum,General Visit,159
2026-01-07,17,Souvenir Shop,General Visit,159
2026-01-08,8,Main Entrance,Entry,78
2026-01-08,8,Elephant Bathing Area,River Observation,78
2026-01-08,8,Fruit Feeding Centre,General Visit,78
2026-01-08,8,Milk Feeding Nursery,Closed,78
2026-01-08,8,Museum,General Visit,78
2026-01-08,8,Souvenir Shop,General Visit,78
2026-01-08,9,Main Entrance,Entry,160
2026-01-08,9,Elephant Bathing Area,River Observation,160
2026-01-08,9,Fruit Feeding Centre,General Visit,160
2026-01-08,9,Milk Feeding Nursery,Bottle Feeding,160
2026-01-08,9,Museum,General Visit,160
2026-01-08,9,Souvenir Shop,General Visit,160
2026-01-08,10,Main Entrance,Entry,115
2026-01-08,10,Elephant Bathing Area,River Bathing,115
2026-01-08,10,Fruit Feeding Centre,General Visit,115
2026-01-08,10,Milk Feeding Nursery,Closed,115
2026-01-08,10,Museum,General Visit,115
2026-01-08,10,Souvenir Shop,General Visit,115
2026-01-08,11,Main Entrance,Entry,114
2026-01-08,11,Elephant Bathing Area,River Bathing,114
2026-01-08,11,Fruit Feeding Centre,General Visit,114
2026-01-08,11,Milk Feeding Nursery,Closed,114
2026-01-08,11,Museum,General Visit,114
2026-01-08,11,Souvenir Shop,General Visit,114
2026-01-08,12,Main Entrance,Entry,63
2026-01-08,12,Elephant Bathing Area,River Observation,63
2026-01-08,12,Fruit Feeding Centre,General Visit,63
2026-01-08,12,Milk Feeding Nursery,Closed,63
2026-01-08,12,Museum,General Visit,63
2026-01-08,12,Souvenir Shop,General Visit,63
2026-01-08,13,Main Entrance,Entry,138
2026-01-08,13,Elephant Bathing Area,River Observation,138
2026-01-08,13,Fruit Feeding Centre,General Visit,138
2026-01-08,13,Milk Feeding Nursery,Bottle Feeding,138
2026-01-08,13,Museum,General Visit,138
2026-01-08,13,Souvenir Shop,General Visit,138
2026-01-08,14,Main Entrance,Entry,116
2026-01-08,14,Elephant Bathing Area,River Bathing,116
2026-01-08,14,Fruit Feeding Centre,General Visit,116
2026-01-08,14,Milk Feeding Nursery,Closed,116
2026-01-08,14,Museum,General Visit,116
2026-01-08,14,Souvenir Shop,General Visit,116
2026-01-08,15,Main Entrance,Entry,65
2026-01-08,15,Elephant Bathing Area,River Bathing,65
2026-01-08,15,Fruit Feeding Centre,General Visit,65
2026-01-08,15,Milk Feeding Nursery,Closed,65
2026-01-08,15,Museum,General Visit,65
2026-01-08,15,Souvenir Shop,General Visit,65
2026-01-08,16,Main Entrance,Entry,214
2026-01-08,16,Elephant Bathing Area,River Observation,214
2026-01-08,16,Fruit Feeding Centre,General Visit,214
2026-01-08,16,Milk Feeding Nursery,Closed,214
2026-01-08,16,Museum,General Visit,214
2026-01-08,16,Souvenir Shop,General Visit,214
2026-01-08,17,Main Entrance,Entry,157
2026-01-08,17,Elephant Bathing Area,River Observation,157
2026-01-08,17,Fruit Feeding Centre,General Visit,157
2026-01-08,17,Milk Feeding Nursery,Bottle Feeding,157
2026-01-08,17,Museum,General Visit,157
2026-01-08,17,Souvenir Shop,General Visit,157
2026-01-09,8,Main Entrance,Entry,88
2026-01-09,8,Elephant Bathing Area,River Observation,88
2026-01-09,8,Fruit Feeding Centre,General Visit,88
2026-01-09,8,Milk Feeding Nursery,Closed,88
2026-01-09,8,Museum,General Visit,88
2026-01-09,8,Souvenir Shop,General Visit,88
2026-01-09,9,Main Entrance,Entry,147
2026-01-09,9,Elephant Bathing Area,River Observation,147
2026-01-09,9,Fruit Feeding Centre,General Visit,147
2026-01-09,9,Milk Feeding Nursery,Bottle Feeding,147
2026-01-09,9,Museum,General Visit,147
2026-01-09,9,Souvenir Shop,General Visit,147
2026-01-09,10,Main Entrance,Entry,135
2026-01-09,10,Elephant Bathing Area,River Bathing,135
2026-01-09,10,Fruit Feeding Centre,General Visit,135
2026-01-09,10,Milk Feeding Nursery,Closed,135
2026-01-09,10,Museum,General Visit,135
2026-01-09,10,Souvenir Shop,General Visit,135
2026-01-09,11,Main Entrance,Entry,125
2026-01-09,11,Elephant Bathing Area,River Bathing,125
2026-01-09,11,Fruit Feeding Centre,General Visit,125
2026-01-09,11,Milk Feeding Nursery,Closed,125
2026-01-09,11,Museum,General Visit,125
2026-01-09,11,Souvenir Shop,General Visit,125
2026-01-09,12,Main Entrance,Entry,83
2026-01-09,12,Elephant Bathing Area,River Observation,83
2026-01-09,12,Fruit Feeding Centre,General Visit,83
2026-01-09,12,Milk Feeding Nursery,Closed,83
2026-01-09,12,Museum,General Visit,83
2026-01-09,12,Souvenir Shop,General Visit,83
2026-01-09,13,Main Entrance,Entry,131
2026-01-09,13,Elephant Bathing Area,River Observation,131
2026-01-09,13,Fruit Feeding Centre,General Visit,131
2026-01-09,13,Milk Feeding Nursery,Bottle Feeding,131
2026-01-09,13,Museum,General Visit,131
2026-01-09,13,Souvenir Shop,General Visit,131
2026-01-09,14,Main Entrance,Entry,121
2026-01-09,14,Elephant Bathing Area,River Bathing,121
2026-01-09,14,Fruit Feeding Centre,General Visit,121
2026-01-09,14,Milk Feeding Nursery,Closed,121
2026-01-09,14,Museum,General Visit,121
2026-01-09,14,Souvenir Shop,General Visit,121
2026-01-09,15,Main Entrance,Entry,98
2026-01-09,15,Elephant Bathing Area,River Bathing,98
2026-01-09,15,Fruit Feeding Centre,General Visit,98
2026-01-09,15,Milk Feeding Nursery,Closed,98
2026-01-09,15,Museum,General Visit,98
2026-01-09,15,Souvenir Shop,General Visit,98
2026-01-09,16,Main Entrance,Entry,229
2026-01-09,16,Elephant Bathing Area,River Observation,229
2026-01-09,16,Fruit Feeding Centre,General Visit,229
2026-01-09,16,Milk Feeding Nursery,Closed,229
2026-01-09,16,Museum,General Visit,229
2026-01-09,16,Souvenir Shop,General Visit,229
2026-01-09,17,Main Entrance,Entry,213
2026-01-09,17,Elephant Bathing Area,River Observation,213
2026-01-09,17,Fruit Feeding Centre,General Visit,213
2026-01-09,17,Milk Feeding Nursery,Bottle Feeding,213
2026-01-09,17,Museum,General Visit,213
2026-01-09,17,Souvenir Shop,General Visit,213
2026-01-10,8,Main Entrance,Entry,52
2026-01-10,8,Elephant Bathing Area,River Observation,52
2026-01-10,8,Fruit Feeding Centre,General Visit,52
2026-01-10,8,Milk Feeding Nursery,Closed,52
2026-01-10,8,Museum,General Visit,52
2026-01-10,8,Souvenir Shop,General Visit,52
2026-01-10,9,Main Entrance,Entry,143
2026-01-10,9,Elephant Bathing Area,River Observation,143
2026-01-10,9,Fruit Feeding Centre,General Visit,143
2026-01-10,9,Milk Feeding Nursery,Bottle Feeding,143
2026-01-10,9,Museum,General Visit,143
2026-01-10,9,Souvenir Shop,General Visit,143
2026-01-10,10,Main Entrance,Entry,112
2026-01-10,10,Elephant Bathing Area,River Bathing,112
